"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","53343","0.0-0.0","3","","","","",""
"","html-keyboard-response","1","55438","0.0-1.0","3","2093","Welcome to the experiment. Press any key to begin.","32","",""
"","html-button-response","2","58134","0.0-2.0","3","2690","<p> Consent Form. <p><p> In this experiment you will watch videos of stick-figures representing children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","68742","0.0-3.0","3","10607","<p>During this experiment you will be shown short videos of stick-figures representing children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","32","",""
"","video","4","82250","0.0-4.0-0.0","3","","[""Clips/GOSk5.mp4""]","","",""
"","survey-likert","5","96455","0.0-4.0-1.0","3","14201","","","","{""Q0"":4}"
"","video","6","115226","0.0-4.0-0.1","3","","[""Clips/NPSk11.mp4""]","","",""
"","survey-likert","7","120022","0.0-4.0-1.1","3","4792","","","","{""Q0"":3}"
"","video","8","143532","0.0-4.0-0.2","3","","[""Clips/ASk4.mp4""]","","",""
"","survey-likert","9","148750","0.0-4.0-1.2","3","5215","","","","{""Q0"":5}"
"","video","10","164681","0.0-4.0-0.3","3","","[""Clips/ASk5.mp4""]","","",""
"","survey-likert","11","169238","0.0-4.0-1.3","3","4553","","","","{""Q0"":3}"
"","video","12","186414","0.0-4.0-0.4","3","","[""Clips/ASk15.mp4""]","","",""
"","survey-likert","13","191214","0.0-4.0-1.4","3","4797","","","","{""Q0"":2}"
"","video","14","206213","0.0-4.0-0.5","3","","[""Clips/NPSk8.mp4""]","","",""
"","survey-likert","15","210517","0.0-4.0-1.5","3","4302","","","","{""Q0"":2}"
"","video","16","233284","0.0-4.0-0.6","3","","[""Clips/GOSk4.mp4""]","","",""
"","survey-likert","17","246582","0.0-4.0-1.6","3","13295","","","","{""Q0"":3}"
"","video","18","277719","0.0-4.0-0.7","3","","[""Clips/ASk1.mp4""]","","",""
"","survey-likert","19","284558","0.0-4.0-1.7","3","6837","","","","{""Q0"":4}"
"","video","20","303891","0.0-4.0-0.8","3","","[""Clips/NPSk5.mp4""]","","",""
"","survey-likert","21","309262","0.0-4.0-1.8","3","5369","","","","{""Q0"":2}"
"","video","22","333546","0.0-4.0-0.9","3","","[""Clips/ASk10.mp4""]","","",""
"","survey-likert","23","336726","0.0-4.0-1.9","3","3178","","","","{""Q0"":3}"
"","video","24","353494","0.0-4.0-0.10","3","","[""Clips/GOSk7.mp4""]","","",""
"","survey-likert","25","359382","0.0-4.0-1.10","3","5885","","","","{""Q0"":4}"
"","video","26","379081","0.0-4.0-0.11","3","","[""Clips/NPSk10.mp4""]","","",""
"","survey-likert","27","382718","0.0-4.0-1.11","3","3634","","","","{""Q0"":2}"
