"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","79048","0.0-0.0","4","","","","",""
"","html-keyboard-response","1","81649","0.0-1.0","4","2598","Welcome to the experiment. Press any key to begin.","71","",""
"","html-button-response","2","115927","0.0-2.0","4","34273","<p> Consent Form. <p><p> In this experiment you will watch videos of children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","134078","0.0-3.0","4","18149","<p>During this experiment you will be shown short videos of children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","72","",""
"","video","4","151322","0.0-4.0-0.0","4","","[""Clips/NP2.mp4""]","","",""
"","survey-likert","5","171536","0.0-4.0-1.0","4","20209","","","","{""Q0"":4}"
"","video","6","184430","0.0-4.0-0.1","4","","[""Clips/A7.mp4""]","","",""
"","survey-likert","7","187950","0.0-4.0-1.1","4","3517","","","","{""Q0"":6}"
"","video","8","205312","0.0-4.0-0.2","4","","[""Clips/GO13.mp4""]","","",""
"","survey-likert","9","214214","0.0-4.0-1.2","4","8899","","","","{""Q0"":5}"
"","video","10","240673","0.0-4.0-0.3","4","","[""Clips/NP14.mp4""]","","",""
"","survey-likert","11","244526","0.0-4.0-1.3","4","3850","","","","{""Q0"":0}"
"","video","12","257670","0.0-4.0-0.4","4","","[""Clips/A2.mp4""]","","",""
"","survey-likert","13","263030","0.0-4.0-1.4","4","5358","","","","{""Q0"":3}"
"","video","14","279620","0.0-4.0-0.5","4","","[""Clips/A9.mp4""]","","",""
"","survey-likert","15","282446","0.0-4.0-1.5","4","2823","","","","{""Q0"":5}"
"","video","16","302471","0.0-4.0-0.6","4","","[""Clips/GO15.mp4""]","","",""
"","survey-likert","17","304581","0.0-4.0-1.6","4","2108","","","","{""Q0"":6}"
"","video","18","328308","0.0-4.0-0.7","4","","[""Clips/NP7.mp4""]","","",""
"","survey-likert","19","333806","0.0-4.0-1.7","4","5496","","","","{""Q0"":1}"
"","video","20","350691","0.0-4.0-0.8","4","","[""Clips/NP9.mp4""]","","",""
"","survey-likert","21","358758","0.0-4.0-1.8","4","8063","","","","{""Q0"":3}"
"","video","22","383050","0.0-4.0-0.9","4","","[""Clips/A10.mp4""]","","",""
"","survey-likert","23","385653","0.0-4.0-1.9","4","2601","","","","{""Q0"":6}"
"","video","24","405850","0.0-4.0-0.10","4","","[""Clips/GO14.mp4""]","","",""
"","survey-likert","25","407893","0.0-4.0-1.10","4","2041","","","","{""Q0"":6}"
"","video","26","421362","0.0-4.0-0.11","4","","[""Clips/NP4.mp4""]","","",""
"","survey-likert","27","426941","0.0-4.0-1.11","4","5577","","","","{""Q0"":3}"
"","video","28","454971","0.0-4.0-0.12","4","","[""Clips/GO2.mp4""]","","",""
"","survey-likert","29","457581","0.0-4.0-1.12","4","2608","","","","{""Q0"":6}"
"","video","30","474736","0.0-4.0-0.13","4","","[""Clips/A15.mp4""]","","",""
"","survey-likert","31","478365","0.0-4.0-1.13","4","3626","","","","{""Q0"":5}"
