"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","264002","0.0-0.0","1","","","","",""
"","html-keyboard-response","1","268570","0.0-1.0","1","4564","Welcome to the experiment. Press any key to begin.","32","",""
"","html-button-response","2","271154","0.0-2.0","1","2578","<p> Consent Form. <p><p> In this experiment you will watch videos of stick-figures representing children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","275025","0.0-3.0","1","3870","<p>During this experiment you will be shown short videos of stick-figures representing children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","32","",""
"","video","4","296057","0.0-4.0-0.0","1","","[""Clips/GOSk9.mp4""]","","",""
"","survey-likert","5","300842","0.0-4.0-1.0","1","4779","","","","{""Q0"":5}"
"","video","6","312904","0.0-4.0-0.1","1","","[""Clips/GOSk5.mp4""]","","",""
"","survey-likert","7","317049","0.0-4.0-1.1","1","4144","","","","{""Q0"":6}"
"","video","8","348297","0.0-4.0-0.2","1","","[""Clips/ASk1.mp4""]","","",""
"","survey-likert","9","351753","0.0-4.0-1.2","1","3454","","","","{""Q0"":5}"
"","video","10","364644","0.0-4.0-0.3","1","","[""Clips/ASk7.mp4""]","","",""
"","survey-likert","11","373721","0.0-4.0-1.3","1","9075","","","","{""Q0"":4}"
"","video","12","390597","0.0-4.0-0.4","1","","[""Clips/NPSk9.mp4""]","","",""
"","survey-likert","13","392929","0.0-4.0-1.4","1","2328","","","","{""Q0"":3}"
"","video","14","407977","0.0-4.0-0.5","1","","[""Clips/NPSk8.mp4""]","","",""
"","survey-likert","15","410681","0.0-4.0-1.5","1","2702","","","","{""Q0"":3}"
"","video","16","423906","0.0-4.0-0.6","1","","[""Clips/ASk8.mp4""]","","",""
"","survey-likert","17","428553","0.0-4.0-1.6","1","4644","","","","{""Q0"":3}"
"","video","18","444556","0.0-4.0-0.7","1","","[""Clips/ASk5.mp4""]","","",""
"","survey-likert","19","446761","0.0-4.0-1.7","1","2204","","","","{""Q0"":4}"
"","video","20","469558","0.0-4.0-0.8","1","","[""Clips/GOSk4.mp4""]","","",""
"","survey-likert","21","472425","0.0-4.0-1.8","1","2863","","","","{""Q0"":6}"
"","video","22","495996","0.0-4.0-0.9","1","","[""Clips/ASk4.mp4""]","","",""
"","survey-likert","23","498330","0.0-4.0-1.9","1","2331","","","","{""Q0"":4}"
"","video","24","511841","0.0-4.0-0.10","1","","[""Clips/NPSk4.mp4""]","","",""
"","survey-likert","25","514881","0.0-4.0-1.10","1","3037","","","","{""Q0"":3}"
"","video","26","528004","0.0-4.0-0.11","1","","[""Clips/ASk2.mp4""]","","",""
"","survey-likert","27","531497","0.0-4.0-1.11","1","3490","","","","{""Q0"":3}"
"","video","28","550888","0.0-4.0-0.12","1","","[""Clips/NPSk5.mp4""]","","",""
"","survey-likert","29","553362","0.0-4.0-1.12","1","2472","","","","{""Q0"":2}"
"","video","30","581429","0.0-4.0-0.13","1","","[""Clips/GOSk2.mp4""]","","",""
"","survey-likert","31","585089","0.0-4.0-1.13","1","3656","","","","{""Q0"":6}"
"","video","32","602095","0.0-4.0-0.14","1","","[""Clips/ASk6.mp4""]","","",""
"","survey-likert","33","604634","0.0-4.0-1.14","1","2536","","","","{""Q0"":4}"
"","video","34","622711","0.0-4.0-0.15","1","","[""Clips/NPSk6.mp4""]","","",""
"","survey-likert","35","626842","0.0-4.0-1.15","1","4129","","","","{""Q0"":2}"
"","video","36","642610","0.0-4.0-0.16","1","","[""Clips/NPSk2.mp4""]","","",""
"","survey-likert","37","645898","0.0-4.0-1.16","1","3285","","","","{""Q0"":0}"
"","video","38","658522","0.0-4.0-0.17","1","","[""Clips/GOSk1.mp4""]","","",""
"","survey-likert","39","661602","0.0-4.0-1.17","1","3077","","","","{""Q0"":1}"
"","video","40","677020","0.0-4.0-0.18","1","","[""Clips/GOSk8.mp4""]","","",""
"","survey-likert","41","679978","0.0-4.0-1.18","1","2955","","","","{""Q0"":5}"
"","video","42","696118","0.0-4.0-0.19","1","","[""Clips/NPSk1.mp4""]","","",""
"","survey-likert","43","699914","0.0-4.0-1.19","1","3794","","","","{""Q0"":2}"
"","video","44","723789","0.0-4.0-0.20","1","","[""Clips/GOSk6.mp4""]","","",""
"","survey-likert","45","730914","0.0-4.0-1.20","1","7122","","","","{""Q0"":4}"
"","video","46","745323","0.0-4.0-0.21","1","","[""Clips/ASk3.mp4""]","","",""
"","survey-likert","47","747618","0.0-4.0-1.21","1","2293","","","","{""Q0"":6}"
"","video","48","771376","0.0-4.0-0.22","1","","[""Clips/NPSk7.mp4""]","","",""
"","survey-likert","49","773714","0.0-4.0-1.22","1","2335","","","","{""Q0"":0}"
"","video","50","790308","0.0-4.0-0.23","1","","[""Clips/ASk9.mp4""]","","",""
"","survey-likert","51","795875","0.0-4.0-1.23","1","5563","","","","{""Q0"":1}"
"","video","52","817312","0.0-4.0-0.24","1","","[""Clips/GOSk3.mp4""]","","",""
"","survey-likert","53","822850","0.0-4.0-1.24","1","5535","","","","{""Q0"":4}"
"","video","54","839680","0.0-4.0-0.25","1","","[""Clips/GOSk7.mp4""]","","",""
"","survey-likert","55","843906","0.0-4.0-1.25","1","4223","","","","{""Q0"":3}"
"","video","56","861813","0.0-4.0-0.26","1","","[""Clips/NPSk3.mp4""]","","",""
"","survey-likert","57","865619","0.0-4.0-1.26","1","3802","","","","{""Q0"":1}"
"","html-keyboard-response","58","880690","0.0-5.0","1","15070","<p>Debrief.<br /> These videos were originally annotated with 'goal-oriented', 'aimless play' or 'no play'. <br /> This study aimed to validate our assumption that these annotations also tell us how engaged the children were with their task. <br /> We showed you these videos to see if you would agree that 'goal-oriented play' = 'high engagement', 'aimless play' = 'medium engagement' and 'no play' = 'low engagement'. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","880691","0.0-6.0","1","0","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","77","",""
