"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","120671","0.0-0.0","2","","","","",""
"","html-keyboard-response","1","123983","0.0-1.0","2","3309","Welcome to the experiment. Press any key to begin.","13","",""
"","html-button-response","2","125630","0.0-2.0","2","1640","<p> Consent Form. <p><p> In this experiment you will watch videos of stick-figures representing children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","132134","0.0-3.0","2","6502","<p>During this experiment you will be shown short videos of stick-figures representing children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","13","",""
"","video","4","148702","0.0-4.0-0.0","2","","[""Clips/NPSk8.mp4""]","","",""
"","survey-likert","5","154030","0.0-4.0-1.0","2","5324","","","","{""Q0"":3}"
"","video","6","169368","0.0-4.0-0.1","2","","[""Clips/GOSk8.mp4""]","","",""
"","survey-likert","7","171982","0.0-4.0-1.1","2","2610","","","","{""Q0"":6}"
"","video","8","185147","0.0-4.0-0.2","2","","[""Clips/ASk8.mp4""]","","",""
"","survey-likert","9","188686","0.0-4.0-1.2","2","3536","","","","{""Q0"":6}"
"","video","10","201793","0.0-4.0-0.3","2","","[""Clips/ASk2.mp4""]","","",""
"","survey-likert","11","205142","0.0-4.0-1.3","2","3346","","","","{""Q0"":5}"
"","video","12","222476","0.0-4.0-0.4","2","","[""Clips/GOSk13.mp4""]","","",""
"","survey-likert","13","225318","0.0-4.0-1.4","2","2839","","","","{""Q0"":5}"
"","video","14","246695","0.0-4.0-0.5","2","","[""Clips/GOSk3.mp4""]","","",""
"","survey-likert","15","250183","0.0-4.0-1.5","2","3484","","","","{""Q0"":5}"
"","video","16","281355","0.0-4.0-0.6","2","","[""Clips/ASk1.mp4""]","","",""
"","survey-likert","17","284022","0.0-4.0-1.6","2","2664","","","","{""Q0"":4}"
"","video","18","311996","0.0-4.0-0.7","2","","[""Clips/GOSk2.mp4""]","","",""
"","survey-likert","19","315310","0.0-4.0-1.7","2","3311","","","","{""Q0"":5}"
"","video","20","329075","0.0-4.0-0.8","2","","[""Clips/GOSk11.mp4""]","","",""
"","survey-likert","21","331830","0.0-4.0-1.8","2","2753","","","","{""Q0"":4}"
"","video","22","351360","0.0-4.0-0.9","2","","[""Clips/GOSk9.mp4""]","","",""
"","survey-likert","23","356518","0.0-4.0-1.9","2","5156","","","","{""Q0"":4}"
"","video","24","380182","0.0-4.0-0.10","2","","[""Clips/NPSk7.mp4""]","","",""
"","survey-likert","25","383374","0.0-4.0-1.10","2","3191","","","","{""Q0"":0}"
"","video","26","401282","0.0-4.0-0.11","2","","[""Clips/NPSk3.mp4""]","","",""
"","survey-likert","27","404918","0.0-4.0-1.11","2","3633","","","","{""Q0"":3}"
"","video","28","419245","0.0-4.0-0.12","2","","[""Clips/ASk3.mp4""]","","",""
"","survey-likert","29","421223","0.0-4.0-1.12","2","1973","","","","{""Q0"":6}"
"","video","30","440028","0.0-4.0-0.13","2","","[""Clips/NPSk11.mp4""]","","",""
"","survey-likert","31","444910","0.0-4.0-1.13","2","4880","","","","{""Q0"":4}"
"","video","32","460978","0.0-4.0-0.14","2","","[""Clips/NPSk1.mp4""]","","",""
"","survey-likert","33","463247","0.0-4.0-1.14","2","2267","","","","{""Q0"":3}"
"","video","34","480011","0.0-4.0-0.15","2","","[""Clips/GOSk7.mp4""]","","",""
"","survey-likert","35","482718","0.0-4.0-1.15","2","2705","","","","{""Q0"":6}"
"","video","36","499591","0.0-4.0-0.16","2","","[""Clips/NPSk9.mp4""]","","",""
"","survey-likert","37","503359","0.0-4.0-1.16","2","3765","","","","{""Q0"":6}"
"","video","38","517255","0.0-4.0-0.17","2","","[""Clips/ASk13.mp4""]","","",""
"","survey-likert","39","521519","0.0-4.0-1.17","2","4261","","","","{""Q0"":1}"
"","video","40","547962","0.0-4.0-0.18","2","","[""Clips/NPSk14.mp4""]","","",""
"","survey-likert","41","551207","0.0-4.0-1.18","2","3243","","","","{""Q0"":3}"
"","video","42","571347","0.0-4.0-0.19","2","","[""Clips/GOSk14.mp4""]","","",""
"","survey-likert","43","574895","0.0-4.0-1.19","2","3544","","","","{""Q0"":6}"
"","video","44","587727","0.0-4.0-0.20","2","","[""Clips/ASk7.mp4""]","","",""
"","survey-likert","45","589831","0.0-4.0-1.20","2","2101","","","","{""Q0"":6}"
"","video","46","616249","0.0-4.0-0.21","2","","[""Clips/ASk11.mp4""]","","",""
"","survey-likert","47","619647","0.0-4.0-1.21","2","3396","","","","{""Q0"":5}"
"","video","48","632245","0.0-4.0-0.22","2","","[""Clips/GOSk1.mp4""]","","",""
"","survey-likert","49","634359","0.0-4.0-1.22","2","2113","","","","{""Q0"":3}"
"","video","50","649024","0.0-4.0-0.23","2","","[""Clips/NPSk13.mp4""]","","",""
"","survey-likert","51","651863","0.0-4.0-1.23","2","2837","","","","{""Q0"":1}"
"","video","52","667588","0.0-4.0-0.24","2","","[""Clips/NPSk2.mp4""]","","",""
"","survey-likert","53","671095","0.0-4.0-1.24","2","3504","","","","{""Q0"":4}"
"","video","54","687672","0.0-4.0-0.25","2","","[""Clips/ASk9.mp4""]","","",""
"","survey-likert","55","691207","0.0-4.0-1.25","2","3531","","","","{""Q0"":6}"
