"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","134045","0.0-0.0","3","","","","",""
"","html-keyboard-response","1","137322","0.0-1.0","3","3273","Welcome to the experiment. Press any key to begin.","32","",""
"","html-button-response","2","158973","0.0-2.0","3","21647","<p> Consent Form. <p><p> In this experiment you will watch videos of children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","181595","0.0-3.0","3","22622","<p>During this experiment you will be shown short videos of children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","32","",""
"","video","4","207508","0.0-4.0-0.0","3","","[""Clips/A10.mp4""]","","",""
"","survey-likert","5","222389","0.0-4.0-1.0","3","14875","","","","{""Q0"":4}"
"","video","6","236180","0.0-4.0-0.1","3","","[""Clips/GO11.mp4""]","","",""
"","survey-likert","7","272699","0.0-4.0-1.1","3","36517","","","","{""Q0"":3}"
"","video","8","289487","0.0-4.0-0.2","3","","[""Clips/GO7.mp4""]","","",""
"","survey-likert","9","302907","0.0-4.0-1.2","3","13417","","","","{""Q0"":4}"
"","video","10","318610","0.0-4.0-0.3","3","","[""Clips/NP12.mp4""]","","",""
"","survey-likert","11","358947","0.0-4.0-1.3","3","40335","","","","{""Q0"":2}"
"","video","12","372367","0.0-4.0-0.4","3","","[""Clips/NP4.mp4""]","","",""
"","survey-likert","13","383571","0.0-4.0-1.4","3","11201","","","","{""Q0"":2}"
"","video","14","399655","0.0-4.0-0.5","3","","[""Clips/NP1.mp4""]","","",""
"","survey-likert","15","404059","0.0-4.0-1.5","3","4401","","","","{""Q0"":1}"
"","video","16","427776","0.0-4.0-0.6","3","","[""Clips/NP7.mp4""]","","",""
"","survey-likert","17","488042","0.0-4.0-1.6","3","60263","","","","{""Q0"":0}"
"","video","18","500883","0.0-4.0-0.7","3","","[""Clips/A7.mp4""]","","",""
"","survey-likert","19","505690","0.0-4.0-1.7","3","4805","","","","{""Q0"":5}"
"","video","20","522366","0.0-4.0-0.8","3","","[""Clips/GO12.mp4""]","","",""
"","survey-likert","21","527305","0.0-4.0-1.8","3","4938","","","","{""Q0"":6}"
"","video","22","550104","0.0-4.0-0.9","3","","[""Clips/GO4.mp4""]","","",""
"","survey-likert","23","554305","0.0-4.0-1.9","3","4199","","","","{""Q0"":6}"
"","video","24","574089","0.0-4.0-0.10","3","","[""Clips/NP10.mp4""]","","",""
"","survey-likert","25","578977","0.0-4.0-1.10","3","4885","","","","{""Q0"":5}"
"","video","26","594054","0.0-4.0-0.11","3","","[""Clips/NP8.mp4""]","","",""
"","survey-likert","27","598689","0.0-4.0-1.11","3","4632","","","","{""Q0"":4}"
"","video","28","625129","0.0-4.0-0.12","3","","[""Clips/A11.mp4""]","","",""
"","survey-likert","29","629697","0.0-4.0-1.12","3","4566","","","","{""Q0"":4}"
"","video","30","652415","0.0-4.0-0.13","3","","[""Clips/GO10.mp4""]","","",""
"","survey-likert","31","657977","0.0-4.0-1.13","3","5558","","","","{""Q0"":5}"
"","video","32","675267","0.0-4.0-0.14","3","","[""Clips/A15.mp4""]","","",""
