"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","215329","0.0-0.0","5","","","","",""
"","html-keyboard-response","1","217528","0.0-1.0","5","2197","Welcome to the experiment. Press any key to begin.","13","",""
"","html-button-response","2","229734","0.0-2.0","5","12204","<p> Consent Form. <p><p> In this experiment you will watch videos of children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","235279","0.0-3.0","5","5545","<p>During this experiment you will be shown short videos of children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","13","",""
"","video","4","256316","0.0-4.0-0.0","5","","[""Clips/GO9.mp4""]","","",""
"","survey-likert","5","264216","0.0-4.0-1.0","5","7896","","","","{""Q0"":4}"
"","video","6","284237","0.0-4.0-0.1","5","","[""Clips/GO15.mp4""]","","",""
"","survey-likert","7","288527","0.0-4.0-1.1","5","4288","","","","{""Q0"":6}"
"","video","8","305120","0.0-4.0-0.2","5","","[""Clips/A9.mp4""]","","",""
"","survey-likert","9","310199","0.0-4.0-1.2","5","5077","","","","{""Q0"":3}"
"","video","10","329189","0.0-4.0-0.3","5","","[""Clips/A12.mp4""]","","",""
"","survey-likert","11","332967","0.0-4.0-1.3","5","3776","","","","{""Q0"":6}"
"","video","12","349855","0.0-4.0-0.4","5","","[""Clips/NP9.mp4""]","","",""
"","survey-likert","13","354695","0.0-4.0-1.4","5","4837","","","","{""Q0"":3}"
"","video","14","371654","0.0-4.0-0.5","5","","[""Clips/A6.mp4""]","","",""
"","survey-likert","15","375239","0.0-4.0-1.5","5","3581","","","","{""Q0"":6}"
"","video","16","399109","0.0-4.0-0.6","5","","[""Clips/GO6.mp4""]","","",""
"","survey-likert","17","402735","0.0-4.0-1.6","5","3622","","","","{""Q0"":6}"
"","video","18","418707","0.0-4.0-0.7","5","","[""Clips/A5.mp4""]","","",""
"","survey-likert","19","423470","0.0-4.0-1.7","5","4761","","","","{""Q0"":4}"
"","video","20","446062","0.0-4.0-0.8","5","","[""Clips/GO10.mp4""]","","",""
"","survey-likert","21","449958","0.0-4.0-1.8","5","3893","","","","{""Q0"":5}"
"","video","22","462024","0.0-4.0-0.9","5","","[""Clips/GO5.mp4""]","","",""
"","survey-likert","23","466910","0.0-4.0-1.9","5","4883","","","","{""Q0"":5}"
"","video","24","484975","0.0-4.0-0.10","5","","[""Clips/NP6.mp4""]","","",""
"","survey-likert","25","488142","0.0-4.0-1.10","5","3165","","","","{""Q0"":1}"
"","video","26","501371","0.0-4.0-0.11","5","","[""Clips/A8.mp4""]","","",""
"","survey-likert","27","506598","0.0-4.0-1.11","5","5224","","","","{""Q0"":3}"
"","video","28","527991","0.0-4.0-0.12","5","","[""Clips/GO3.mp4""]","","",""
"","survey-likert","29","532429","0.0-4.0-1.12","5","4436","","","","{""Q0"":6}"
"","video","30","550358","0.0-4.0-0.13","5","","[""Clips/NP3.mp4""]","","",""
"","survey-likert","31","554494","0.0-4.0-1.13","5","4133","","","","{""Q0"":3}"
"","video","32","573877","0.0-4.0-0.14","5","","[""Clips/NP5.mp4""]","","",""
"","survey-likert","33","577958","0.0-4.0-1.14","5","4079","","","","{""Q0"":2}"
"","video","34","593558","0.0-4.0-0.15","5","","[""Clips/NP12.mp4""]","","",""
"","survey-likert","35","598285","0.0-4.0-1.15","5","4724","","","","{""Q0"":5}"
