"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","290382","0.0-0.0","4","","","","",""
"","html-keyboard-response","1","293238","0.0-1.0","4","2852","Welcome to the experiment. Press any key to begin.","32","",""
"","html-button-response","2","295174","0.0-2.0","4","1930","<p> Consent Form. <p><p> In this experiment you will watch videos of stick-figures representing children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","304885","0.0-3.0","4","9710","<p>During this experiment you will be shown short videos of stick-figures representing children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","32","",""
"","video","4","323788","0.0-4.0-0.0","4","","[""Clips/GOSk13.mp4""]","","",""
"","survey-likert","5","327998","0.0-4.0-1.0","4","4206","","","","{""Q0"":6}"
"","video","6","351676","0.0-4.0-0.1","4","","[""Clips/NPSk7.mp4""]","","",""
"","survey-likert","7","355885","0.0-4.0-1.1","4","4206","","","","{""Q0"":1}"
"","video","8","373927","0.0-4.0-0.2","4","","[""Clips/NPSk6.mp4""]","","",""
"","survey-likert","9","380990","0.0-4.0-1.2","4","7060","","","","{""Q0"":3}"
"","video","10","397562","0.0-4.0-0.3","4","","[""Clips/ASk9.mp4""]","","",""
"","survey-likert","11","400334","0.0-4.0-1.3","4","2770","","","","{""Q0"":5}"
"","video","12","419963","0.0-4.0-0.4","4","","[""Clips/NPSk10.mp4""]","","",""
"","survey-likert","13","425997","0.0-4.0-1.4","4","6031","","","","{""Q0"":2}"
"","video","14","442931","0.0-4.0-0.5","4","","[""Clips/ASk6.mp4""]","","",""
"","survey-likert","15","446021","0.0-4.0-1.5","4","3090","","","","{""Q0"":4}"
"","video","16","460761","0.0-4.0-0.6","4","","[""Clips/NPSk13.mp4""]","","",""
"","survey-likert","17","465702","0.0-4.0-1.6","4","4938","","","","{""Q0"":4}"
"","video","18","482846","0.0-4.0-0.7","4","","[""Clips/ASk15.mp4""]","","",""
"","survey-likert","19","486182","0.0-4.0-1.7","4","3332","","","","{""Q0"":5}"
"","video","20","510416","0.0-4.0-0.8","4","","[""Clips/ASk10.mp4""]","","",""
"","survey-likert","21","513110","0.0-4.0-1.8","4","2692","","","","{""Q0"":5}"
"","video","22","536920","0.0-4.0-0.9","4","","[""Clips/GOSk6.mp4""]","","",""
"","survey-likert","23","539757","0.0-4.0-1.9","4","2834","","","","{""Q0"":6}"
"","video","24","563258","0.0-4.0-0.10","4","","[""Clips/ASk4.mp4""]","","",""
"","survey-likert","25","566374","0.0-4.0-1.10","4","3114","","","","{""Q0"":5}"
"","video","26","580104","0.0-4.0-0.11","4","","[""Clips/NPSk15.mp4""]","","",""
"","survey-likert","27","584558","0.0-4.0-1.11","4","4452","","","","{""Q0"":4}"
"","video","28","604556","0.0-4.0-0.12","4","","[""Clips/GOSk15.mp4""]","","",""
"","survey-likert","29","608726","0.0-4.0-1.12","4","4168","","","","{""Q0"":3}"
"","video","30","628892","0.0-4.0-0.13","4","","[""Clips/GOSk14.mp4""]","","",""
"","survey-likert","31","631726","0.0-4.0-1.13","4","2832","","","","{""Q0"":6}"
"","video","32","644587","0.0-4.0-0.14","4","","[""Clips/ASk7.mp4""]","","",""
"","survey-likert","33","650798","0.0-4.0-1.14","4","6208","","","","{""Q0"":6}"
"","video","34","663902","0.0-4.0-0.15","4","","[""Clips/ASk2.mp4""]","","",""
"","survey-likert","35","667158","0.0-4.0-1.15","4","3253","","","","{""Q0"":4}"
"","video","36","684035","0.0-4.0-0.16","4","","[""Clips/NPSk9.mp4""]","","",""
"","survey-likert","37","686686","0.0-4.0-1.16","4","2649","","","","{""Q0"":4}"
"","video","38","700114","0.0-4.0-0.17","4","","[""Clips/NPSk4.mp4""]","","",""
"","survey-likert","39","703038","0.0-4.0-1.17","4","2921","","","","{""Q0"":4}"
"","video","40","715159","0.0-4.0-0.18","4","","[""Clips/ASk14.mp4""]","","",""
"","survey-likert","41","718638","0.0-4.0-1.18","4","3476","","","","{""Q0"":2}"
"","video","42","732589","0.0-4.0-0.19","4","","[""Clips/ASk13.mp4""]","","",""
"","survey-likert","43","738391","0.0-4.0-1.19","4","5799","","","","{""Q0"":3}"
"","video","44","766399","0.0-4.0-0.20","4","","[""Clips/GOSk2.mp4""]","","",""
"","survey-likert","45","769046","0.0-4.0-1.20","4","2645","","","","{""Q0"":6}"
"","video","46","791785","0.0-4.0-0.21","4","","[""Clips/GOSk4.mp4""]","","",""
"","survey-likert","47","795703","0.0-4.0-1.21","4","3915","","","","{""Q0"":6}"
"","video","48","822109","0.0-4.0-0.22","4","","[""Clips/NPSk14.mp4""]","","",""
"","survey-likert","49","825519","0.0-4.0-1.22","4","3408","","","","{""Q0"":1}"
"","video","50","848062","0.0-4.0-0.23","4","","[""Clips/GOSk10.mp4""]","","",""
"","survey-likert","51","851959","0.0-4.0-1.23","4","3894","","","","{""Q0"":6}"
"","video","52","871463","0.0-4.0-0.24","4","","[""Clips/GOSk9.mp4""]","","",""
"","survey-likert","53","874343","0.0-4.0-1.24","4","2876","","","","{""Q0"":5}"
"","video","54","890045","0.0-4.0-0.25","4","","[""Clips/NPSk2.mp4""]","","",""
"","survey-likert","55","894256","0.0-4.0-1.25","4","4209","","","","{""Q0"":2}"
"","video","56","911061","0.0-4.0-0.26","4","","[""Clips/GOSk7.mp4""]","","",""
"","survey-likert","57","915639","0.0-4.0-1.26","4","4576","","","","{""Q0"":2}"
"","html-keyboard-response","58","943535","0.0-5.0","4","27895","<p>Thank You. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","943942","0.0-6.0","4","406","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
